Time [ms], Neuron ID
0.4,2754
0.5,4886
0.5,3612
0.5,1856
0.6,727
0.7,122
0.7,4265
0.7,1400
0.7,881
0.7,5684
0.8,4681
0.8,5254
0.8,2516
0.8,2014
0.9,1613
0.9,265
0.9,1091
0.9,2763
0.9,873
0.9,861
0.9,939
1,2064
1,4952
1,4505
1.1,2895
1.1,5106
1.1,2697
1.1,463
1.1,5564
1.1,209
1.1,4208
1.1,4210
1.2,690
1.2,2161
1.2,2453
1.2,337
1.2,5530
1.3,5374
1.3,5606
1.3,2929
1.3,897
1.3,1322
1.4,195
1.4,5151
1.4,1097
1.5,3180
1.5,1542
1.5,2978
1.6,3175
1.6,4806
1.7,5638
1.8,1384
1.9,2073
2,3257
2,2234
2.1,4109
2.4,3590
2.5,1740
2.6,3387
2.6,2533
2.6,1429
2.6,192
2.7,270
2.7,2877
2.7,577
2.7,2017
2.7,2036
2.7,2060
2.7,4645
2.8,5279
2.8,4814
2.8,3451
2.8,1921
2.9,3164
2.9,5479
2.9,2444
3,515
3,810
3,2051
3,338
3,717
3.1,3626
3.1,1781
3.1,2480
3.1,4699
3.1,430
3.2,2945
3.2,1635
3.3,1360
3.3,5009
3.4,5078
3.5,3103
5,2994
5.1,5278
5.1,2637
5.3,5611
5.3,1752
5.3,4578
5.4,4289
5.4,3534
5.4,5752
5.5,3779
5.5,2360
5.5,2243
5.6,3983
5.6,5297
5.7,3938
5.7,2283
5.7,362
5.7,2022
5.8,1628
5.8,3035
5.8,3171
5.8,2793
5.9,2842
5.9,1611
5.9,5339
5.9,5775
5.9,4495
5.9,1661
6,5410
6,4680
6,3104
6.1,4765
6.1,5395
6.1,5055
6.1,2488
6.1,1656
6.2,123
6.2,4626
6.2,3555
6.2,3563
6.3,5415
6.3,2292
6.3,4140
6.4,3902
6.4,5594
6.4,705
6.4,4098
6.4,3492
6.4,1945
6.4,5138
6.5,1954
6.5,5521
6.5,5696
6.7,2802
6.7,4203
6.7,5144
6.7,4018
6.8,4104
7,4828
7.2,3803
7.4,709
7.6,1225
7.6,5667
7.7,2148
7.7,2466
7.7,173
7.9,27
8,2231
8.1,1762
8.2,982
8.5,3398
8.5,908
8.5,4977
8.6,1903
8.7,655
8.8,4793
9,2410
9.5,4513
9.6,6
9.8,2506
9.8,34
9.8,4835
9.9,4212
10,5027
10,3291
10.1,5208
10.1,800
10.2,1482
10.3,2777
10.3,344
10.4,3608
10.4,225
10.6,3349
10.7,743
10.7,95
10.8,1703
10.9,3138
10.9,2370
11,1751
11,5046
11,5720
11.1,4351
11.1,1348
11.1,2402
11.1,2771
11.2,3082
11.2,4427
11.3,2498
11.3,2276
11.3,614
11.5,2647
11.8,4262
11.9,3065
11.9,127
12,1293
12.2,5148
12.3,2847
12.4,5397
12.4,18
12.5,1381
12.6,3987
12.8,3809
12.8,3822
13,3177
13.1,1417
13.2,5734
13.3,1610
