Time [ms], Neuron ID
0.1,9645
0.2,3710
0.2,9710
0.2,722
0.2,2939
0.2,4327
0.2,2968
0.2,10304
0.2,4669
0.2,5743
0.2,5753
0.2,5759
0.3,2455
0.3,2974
0.3,6799
0.3,8412
0.3,1991
0.3,873
0.3,7272
0.3,107
0.3,13829
0.3,7436
0.3,9784
0.3,7988
0.3,6894
0.3,10225
0.3,2555
0.3,8762
0.3,5763
0.3,13112
0.3,14263
0.3,1940
0.4,222
0.4,2769
0.4,3512
0.4,24
0.4,5060
0.4,8910
0.4,677
0.4,13845
0.4,5933
0.4,1982
0.4,13144
0.4,12713
0.4,10917
0.4,3459
0.4,13355
0.4,1599
0.4,13613
0.4,4003
0.4,4726
0.4,6380
0.4,3812
0.4,7463
0.4,8932
0.5,6760
0.5,9944
0.5,162
0.5,2931
0.5,14114
0.5,10608
0.5,2323
0.5,11006
0.5,5307
0.5,4027
0.5,11688
0.5,7070
0.5,6947
0.5,9770
0.5,12561
0.5,14154
0.5,9065
0.5,8200
0.5,6852
0.5,6147
0.5,12907
0.5,10965
0.5,7990
0.5,4938
0.5,3102
0.5,6374
0.5,8010
0.5,10155
0.5,11320
0.5,7011
0.5,5082
0.5,11870
0.5,2124
0.6,3544
0.6,411
0.6,32
0.6,8286
0.6,10822
0.6,10643
0.6,7745
0.6,11592
0.6,8081
0.6,12307
0.6,774
0.6,1503
0.6,8635
0.6,3335
0.6,10100
0.6,955
0.6,1076
0.6,10940
0.6,12886
0.6,13190
0.6,1766
0.6,1776
0.6,5548
0.6,1243
0.6,9969
0.6,2301
0.6,4409
0.6,4413
0.6,7426
0.6,211
0.6,3692
0.6,13167
0.6,9662
0.6,4324
0.6,4366
0.6,1792
0.6,11130
0.6,10251
0.6,4951
0.6,2567
0.6,9848
0.6,11062
0.6,3132
0.6,4111
0.6,11186
0.6,649
0.6,8601
0.6,2331
0.6,11494
0.6,918
0.6,12936
0.6,3014
0.6,13059
0.6,13083
0.6,1750
0.6,7799
0.6,8308
0.6,11770
0.7,1138
0.7,1160
0.7,11210
0.7,2221
0.7,7364
0.7,9348
0.7,4612
0.7,10395
0.7,10012
0.7,5483
0.7,3236
0.7,92
0.7,2933
0.7,11103
0.7,4385
0.7,9181
0.7,14126
0.7,13983
0.7,6439
0.7,9610
0.7,10559
0.7,9765
0.7,7998
0.7,7296
0.7,7325
0.7,8708
0.7,6700
